metric,description
acceptance_rate,"Percent of applicants admitted: admits ÷ applicants. Lower is more selective. Note this is the institutional rate, not yield (enrollees ÷ admits). Source: IPEDS Admissions component (ADM)."
act_mid50,"ACT composite score at the 50th percentile of admitted students (midpoint between 25th and 75th percentiles, with a 25/75 average used as fallback when only band scores are reported). Kept separate from SAT — no concordance is applied. Useful for descriptive comparisons but the test-optional era means coverage varies widely."
application_volume,"Total number of applications received for the most recent fall cohort. A raw scale measure; very different at a 1,500-student liberal arts college vs. a 50,000-student state flagship. Use alongside acceptance_rate to interpret either. Source: IPEDS ADM."
ed_acceptance_rate,"Early decision acceptance rate: ED admits ÷ ED applicants. Lower means an ED program that's harder to crack. Reported in the Common Data Set, so coverage is roughly 45% of institutions (CDS respondents only) — NA values can mean either no ED program or just no submission."
ed_share_of_applications,"Early decision applicants as a percent of total applicants. A signal of institutional reliance on ED: high values often correlate with selective privates that lock in their class before the regular decision cycle. CDS numerator (~45% coverage) over a near-universal IPEDS denominator."
pct_submitting_act,"Percent of first-time students who submitted an ACT score with their application. Important context for act_mid50 — small submission shares can produce unrepresentative midpoints, especially under test-optional policies. Source: IPEDS ADM (ACTPCT)."
pct_submitting_sat,"Percent of first-time students who submitted an SAT score with their application. Important context for sat_mid50; low submission shares under test-optional admissions can skew the midpoint toward the highest scorers. Source: IPEDS ADM (SATPCT)."
pct_top10_hs,"Percent of enrolled first-year students who graduated in the top 10% of their high school class. A standard signal of admissions selectivity, but only the ~45% of institutions that respond to the Common Data Set report it."
sat_mid50,"Composite SAT (Verbal + Math) at the 50th percentile of admitted students, computed as the midpoint between 25th and 75th percentiles when needed. Test-optional policies mean this reflects the subset of admits who chose to submit scores — generally a higher-scoring slice — so trends over recent years are not directly comparable. Source: IPEDS ADM."
yield_men_vs_women,"Yield rate gap (women minus men), in percentage points. Positive values mean women yielded at a higher rate than men. Exploratory variable — useful for spotting gender disparities in matriculation patterns, not used in peer-distance calculation."
yield_rate,"Percent of admitted students who enrolled: enrollees ÷ admits. A signal of institutional draw — high yield means students chose this school over their alternatives. Independent of selectivity (high yield can coexist with either high or low acceptance rate). Source: IPEDS ADM."
avg_federal_loan,"Average federal loan amount per borrower (first-time, full-time undergraduates). Higher values usually indicate higher costs and/or higher unmet need at this institution. Source: IPEDS Student Financial Aid (SFA)."
avg_inst_grant,"Average institutional grant or scholarship per recipient (first-time, full-time undergraduates). Combines need- and merit-based aid that comes from the institution itself; excludes federal Pell or state grants. Source: IPEDS SFA."
avg_net_price_aided,"Average net price (cost of attendance minus all grant aid) across first-time, full-time undergraduates who received any aid. The single best indicator of what an aided family actually pays. Public institutions report in-state Title IV recipients; private nonprofits report all grant recipients. Source: IPEDS SFA."
avg_net_price_income_0_30k,"Average net price for first-time, full-time, federal-aid-receiving undergraduates from families with adjusted income of $0–30,000. The most affordability-sensitive net-price slice; useful for evaluating access for low-income students. Public institutions report in-state band 1; private nonprofits report all. Source: IPEDS SFA."
inst_discount_rate,"Institutional grant aid as a percent of published tuition and fees. A direct measure of tuition discounting — how much sticker price the institution gives back as scholarships. High values (40%+) are common at private LACs; low values typify public flagships. Computed from IPEDS SFA + IC."
pct_any_grant,"Percent of first-time, full-time undergraduates receiving any grant or scholarship aid (institutional, federal, state, or other). A breadth measure rather than a depth one — pairs well with avg_inst_grant for the full picture. Source: IPEDS SFA."
pct_federal_loan,"Percent of first-time, full-time undergraduates who took out a federal student loan. Higher values often reflect either higher cost or larger shares of students with unmet need. Source: IPEDS SFA."
pct_need_fully_met,"Percent of freshmen whose full demonstrated financial need was met by the institution's aid package, from the Common Data Set. A more demanding bar than pct_need_met — captures whether the school covers gaps completely vs. partially. Survey respondents only (~45%)."
pct_need_met,"Average percent of demonstrated financial need met across freshmen, from the Common Data Set. 100% means the school covers the gap between cost of attendance and expected family contribution; lower values mean families face unmet need. Survey respondents only (~45%)."
pct_pell,"Percent of first-time, full-time undergraduates receiving Pell grants. The standard proxy for an institution's economic-access profile. Pell eligibility roughly tracks family income under ~$60,000. Source: IPEDS SFA."
pell_count,"Total number of all undergraduates (not just first-time full-time) awarded Pell grants in the most recent year. A scale measure of how many low-income students an institution serves in absolute terms, complementing the percentage-based pct_pell. Source: IPEDS SFA."
female_athletes_undup,"Number of female student-athletes, unduplicated headcount — multi-sport athletes are counted once. From the federal EADA (Equity in Athletics Disclosure Act) filing. Use alongside total_athletes_undup for the school's full athletics scale."
male_athletes_undup,"Number of male student-athletes, unduplicated headcount — multi-sport athletes are counted once. Source: EADA institution-level filing."
mens_varsity_sports,"Count of distinct men's varsity sports the institution sponsored in the most recent EADA filing. Wider sponsorship typically signals a larger athletics program. Single-sex institutions report zero on the opposite side. EADA 2024-25 covers ~2,037 schools."
multi_sport_ratio,"Total athlete-sport participations divided by unduplicated athletes — i.e., the average number of varsity sports per athlete. Ratios above 1.20 suggest meaningful cross-sport participation, typical at smaller LACs where students play multiple sports. Computed from EADA."
pct_athletes_overall,"Total unduplicated athletes as a percent of full-time undergraduates. Ranges from ~1% at large D-I publics to 40%+ at small D-III liberal arts colleges. The headline measure of how athletics-intensive a campus is. Computed from EADA."
pct_female_athletes,"Female athletes as a percent of female full-time undergraduate enrollment. EADA's gender-specific UG denominator. Useful for comparing women's athletics participation across very differently-sized institutions."
pct_male_athletes,"Male athletes as a percent of male full-time undergraduate enrollment. EADA's gender-specific UG denominator. Pair with pct_female_athletes to look at gender balance in athletics participation."
total_athletes_undup,"Total unduplicated student-athlete headcount. Sum of male and female athletes; the appropriate numerator whenever you compute athletes-per-enrollment. Source: EADA."
total_varsity_sports,"Total number of varsity sports sponsored (men's + women's). A pure breadth measure of program scale — a D-III school running 24 sports may sponsor twice as many programs as a D-I school running 12 well-resourced ones. Source: EADA."
womens_varsity_sports,"Count of distinct women's varsity sports the institution sponsored in the most recent EADA filing. Title IX context makes this an important balance check against mens_varsity_sports. Source: EADA."
first_time_enrollment,"First-time degree-seeking undergraduate enrollment in fall — the entering cohort. Excludes returning students, transfers, and continuing students. The denominator for most retention and graduation rate calculations. Source: IPEDS EF (DRVEF.EFUG1ST)."
full_time_enrollment,"Total full-time enrollment in fall, across undergraduate and graduate levels. The fastest way to gauge campus density during the academic year. Source: IPEDS EF (DRVEF.ENRFT)."
median_family_income,"Median family income of dependent students filing the FAFSA, as reported by College Scorecard. A direct measure of the typical student family's economic position. Note this only reflects FAFSA filers — students from higher-income families who didn't file are excluded, which can bias the median downward at wealthier institutions. Single 2024 snapshot."
pct_age_25plus,"Percent of undergraduates aged 25–64. High values signal commuter, adult-learner, or post-traditional populations; low values typify residential traditional-age colleges. Source: IPEDS EF age distribution."
pct_aian,"Percent of total enrollment that is American Indian or Alaska Native (not Hispanic). Detailed-breakdown variable; for clustering, use the broader BIPOC / White / International / Unknown 3-level trio instead. Source: IPEDS EF."
pct_asian,"Percent of total enrollment that is Asian (not Hispanic). Detailed-breakdown variable; the clustering version is the BIPOC aggregate. Source: IPEDS EF."
pct_bipoc,"Percent of total enrollment identifying as a race/ethnicity other than non-Hispanic white (excluding international students and race-unknowns). The 3-level race/ethnicity trio used in clustering: BIPOC / White / International. Race-unknown students are intentionally excluded from this computation to keep the trio summing to 100. Source: IPEDS EF, derived."
pct_black,"Percent of total enrollment that is Black or African American (not Hispanic). Detailed-breakdown variable; the clustering version uses the BIPOC aggregate. Source: IPEDS EF."
pct_first_generation,"Percent of undergraduates who are first-generation college students (neither parent holds a bachelor's degree), as reported by College Scorecard. A single 2024 snapshot computed from FAFSA filers — about 58% of undergraduates project FAFSAs, so this excludes students whose families didn't file."
pct_graduate,"Graduate share of total enrollment: 100% minus pct_undergrad. Tagged descriptive (not clustering) to avoid double-counting with pct_undergrad, since the two are algebraic complements. Useful for distinguishing primarily-undergraduate institutions from research universities. Source: IPEDS EF, derived."
pct_hispanic,"Percent of total enrollment that is Hispanic or Latino (of any race). Detailed-breakdown variable; the clustering version uses the BIPOC aggregate. Source: IPEDS EF."
pct_international,"Percent of total enrollment that is U.S. nonresident (international students). Visa status, not race or ethnicity. Part of the 3-level race/ethnicity trio used in clustering. Source: IPEDS EF."
pct_nhpi,"Percent of total enrollment that is Native Hawaiian or Other Pacific Islander (not Hispanic). Detailed-breakdown variable; the clustering version uses the BIPOC aggregate. Source: IPEDS EF."
pct_part_time,"Percent of total enrollment that is part-time. The complement of full-time share. High values often signal commuter, working-adult, or community-college-adjacent populations. Source: IPEDS EF, derived."
pct_race_unknown,"Percent of total enrollment whose race/ethnicity was not reported to IPEDS. Excluded from the BIPOC computation. Mostly a data-completeness check — high values may indicate inconsistent reporting practices. Source: IPEDS EF."
pct_two_or_more,"Percent of total enrollment that identifies as two or more races (not Hispanic). Detailed-breakdown variable; the clustering version uses the BIPOC aggregate. Source: IPEDS EF."
pct_undergrad,"Undergraduate share of total enrollment. High values (90%+) typify undergraduate-focused colleges; lower values reflect significant graduate or professional enrollment. Source: IPEDS EF, derived."
pct_white,"Percent of total enrollment that is non-Hispanic white. Part of the 3-level race/ethnicity trio used in clustering. Source: IPEDS EF."
residential_share,"Percent of undergraduates living in institution-owned, -operated, or -affiliated housing. The cleanest signal of residential vs. commuter character. Reported in the Common Data Set, so coverage is roughly 45% of institutions."
total_enrollment,"Total headcount of all students enrolled in the fall term — full-time and part-time, undergraduate and graduate. The single most common measure of an institution's overall size. Source: IPEDS EF (DRVEF.ENRTOT)."
transfer_in_enrollment,"Transfer-in undergraduate enrollment in fall — students who began their undergraduate work elsewhere and entered this institution. A scale measure of transfer activity. Pair with first_time_enrollment to understand the entering cohort mix. Source: IPEDS EF."
undergraduate_enrollment,"Headcount of undergraduate students in the fall term — full-time + part-time. The most common measure of an institution's undergraduate scale. Excludes graduate and professional students. Source: IPEDS EF (DRVEF.EFUG)."
core_expenses_per_fte,"Total core operating expenses divided by full-time-equivalent enrollment. Core expenses include instruction, research, public service, academic support, student services, institutional support, O&M, and depreciation. Excludes auxiliary services. Source: IPEDS Finance (F)."
endowment_coverage_years,"Endowment value expressed as years of core operating expenses (endowment ÷ annual core expenses). A standard financial-strength measure: most LACs run 1–5 years of coverage; the wealthiest research universities can run 10+. Source: IPEDS F, derived."
endowment_per_fte,"End-of-year endowment market value divided by full-time-equivalent enrollment. The standard per-student-resource measure used in higher-ed financial benchmarking. Source: IPEDS F."
herd_avg,"Three-year average of total R&D expenditures from the NSF Higher Education Research and Development (HERD) survey, as reported in the Carnegie 2025 Public Data File. Headline indicator of research intensity. Excludes federally funded R&D centers. One-time snapshot covering FY2020–2023."
net_assets_per_fte,"Total net assets at fiscal year-end, divided by FTE enrollment. Captures cumulative financial position (assets minus liabilities) per student. FASB and GASB reporters use different line items but they're combined here. Source: IPEDS F."
operating_margin_ex_inv_return_per_fte,"Operating margin per FTE, excluding investment return. Operating revenue minus core expenses, normalized by enrollment. Negative values are common at endowment-heavy schools that fund operations from investment income — that's the point of excluding investment return here. Source: IPEDS F, derived."
published_tuition_fees,"Published in-state undergraduate tuition plus required fees for the academic year. Sticker price, before any aid is considered. Use net price variables for what students actually pay. Source: IPEDS IC (TUITION2 + FEE2)."
tuition_share_of_expenses,"Net tuition revenue as a percent of core operating expenses. A stable analog to tuition dependence — high values (>80%) typify tuition-dependent schools; low values reflect heavy endowment or appropriations support. Uses expenses (not revenue) to avoid investment-return volatility. Source: IPEDS F, derived."
doctoral_degrees_awarded,"Number of research/scholarship doctorates awarded in the most recent year. Excludes professional-practice doctorates (MD, JD, etc.) — those are tracked separately. A NECHE peer-set member. Source: IPEDS Completions (C)."
earnings_ratio,"Earnings of an institution's graduates relative to predicted earnings, given demographic composition and CCIHE's SAEC (Social and Economic Mobility Classification) computation. Values above 1.0 mean graduates out-earn predictions; below 1.0 mean they under-earn. One-time Carnegie 2025 snapshot."
first_gen_grad_rate_6yr,"Six-year graduation rate for first-generation students specifically, reported via the Common Data Set. The rate itself (not the gap vs. non-first-gen) — construct gap comparisons in the inspector. Survey respondents only (~45%)."
grad_rate_4yr,"Four-year graduation rate (100% of normal time) for the most recent IPEDS first-time, full-time degree-seeking bachelor's cohort. Stricter bar than the 6-year rate; reflects on-time completion. Source: IPEDS Graduation Rates (GR)."
grad_rate_6yr,"Six-year graduation rate (150% of normal time) for the most recent IPEDS first-time, full-time degree-seeking bachelor's cohort. The standard benchmark for undergraduate completion. Source: IPEDS GR."
grad_rate_men_vs_women,"Six-year graduation rate gap, women minus men, in percentage points. Positive values mean women graduate at higher rates than men. Exploratory variable, not used in peer-distance computation."
loan_repayment_rate,"Three-year loan repayment rate among federal borrowers who completed: the fraction of completer-borrowers whose loan balances are declining three years after entering repayment. Higher = better outcomes. From the latest available College Scorecard cohort."
median_earnings_10yr,"Median annual earnings of federal-aid recipients ten years after entering the institution, from College Scorecard. A long-horizon outcomes signal — but reflects the cohort that entered roughly a decade ago, so it lags current programs. Latest available Scorecard cohort."
median_earnings_6yr,"Median annual earnings of federal-aid recipients six years after entering the institution, from College Scorecard. Shorter-horizon companion to the 10-year measure. Latest available Scorecard cohort."
n_grad_cip2_families,"Number of distinct 2-digit CIP (Classification of Instructional Programs) families in which the institution awarded at least one graduate degree. Broader grouping than n_grad_programs — a CIP2 family covers a discipline area (e.g., Engineering) rather than a specific program. Source: IPEDS C, derived."
n_grad_programs,"Number of distinct 6-digit CIP graduate programs in which the institution awarded at least one degree at the master's, research-doctorate, or professional-practice level. A breadth-of-graduate-offerings measure. Source: IPEDS C, derived."
n_undergrad_cip2_families,"Number of distinct 2-digit CIP undergraduate families in which the institution awarded at least one bachelor's degree. Broader grouping than n_undergrad_programs; each CIP2 represents a major academic area. Source: IPEDS C, derived."
n_undergrad_programs,"Number of distinct 6-digit CIP undergraduate programs in which the institution awarded at least one bachelor's degree in the most recent year. A coarse breadth-of-curriculum measure. Counts only programs that actually produced graduates. Source: IPEDS C, derived."
pell_grad_gap,"Pell-grant recipients' 6-year award rate minus non-Pell recipients' 6-year award rate, in percentage points. Negative values mean Pell students fared worse than non-Pell peers at the institution. Source: IPEDS Outcome Measures (OM)."
retention_rate,"Full-time, first-year, first-time degree-seeking retention rate — the percent of an entering cohort that returned the following fall. Strong early signal of student engagement and academic fit, available years before any graduation rate. Source: IPEDS EF (RET_PCF)."
transfer_out_rate,"Percent of an entering cohort that transferred to another institution rather than completing at the original. Some institutions (community colleges, regional publics) have transfer as an explicit mission; for residential bachelor's institutions a high transfer-out rate often signals fit issues. Source: IPEDS GR."
academic_support_per_fte,"Academic support expenses (libraries, academic computing, academic administration, etc.) divided by FTE enrollment. A measure of investment in the academic infrastructure surrounding direct instruction. Source: IPEDS F."
avg_ft_faculty_salary,"Average salary of full-time instructional faculty on 9-month contracts (equated where needed for 12-month contracts). Reflects compensation levels and, by proxy, hiring competitiveness. Source: IPEDS Human Resources (SAL)."
instruction_per_fte,"Instruction expenses (faculty salaries, departmental support, instructional supplies) per FTE enrollment. The most direct per-student measure of spending on actual teaching. Source: IPEDS F."
instructional_share,"Instruction as a percent of total core operating expenses. Tracks how much of operating spend goes to direct teaching costs (faculty, departments) vs. research, public service, support, etc. Most LACs run 35–50%; research universities are lower because more spending flows to research. Source: IPEDS F."
pct_classes_50plus,"Percent of undergraduate class sections with 50 or more students enrolled. Together with pct_classes_under_20, gives a coarse picture of class-size distribution. Common Data Set source — survey respondents only (~45%). Some institutions exclude labs/recitations differently."
pct_classes_under_20,"Percent of undergraduate class sections with fewer than 20 students enrolled. A staple of college rankings — high values usually indicate small-seminar-rich curricula. Common Data Set source (~45% coverage). Both this and pct_classes_50plus depend on how the institution counts sections."
student_faculty_ratio,"Number of full-time-equivalent students divided by full-time-equivalent instructional faculty. Lower numbers usually signal smaller classes. IPEDS doesn't publish STUFACR directly so this is computed from FTE enrollment and full-time-equivalent instructional staff. Matches the NSC and US News published versions for most institutions."
student_services_per_fte,"Student services expenses (admissions, registrar, financial aid, career services, student health, student activities, etc.) per FTE enrollment. Captures non-academic-but-essential investment per student. Source: IPEDS F."
tenure_track_share,"Percent of full-time instructional staff who are tenured or on the tenure track (FACSTAT 20 + 30 over FACSTAT 0 total). Higher values usually signal more stable, research-active faculty cores. NA for institutions without a tenure system at all (typically community colleges and some specialty schools). Source: IPEDS HR."
athletics_division_numeric,"Ordinal numeric encoding of NCAA / NAIA athletics division. Higher values represent more athletically intense programs: NCAA Division I = 3 (full scholarships, large programs, Holy Cross's tier), NCAA Division II and NAIA = 2 (partial scholarships or alternative national governance, similar competition intensity), NCAA Division III = 1 (no athletic scholarships, more academically focused). Schools coded 'Other' (alternative governance bodies or unaffiliated programs) are NA — we don't conflate them with a specific intensity tier. Schools with no varsity athletics also coded NA. The variable is synthetic: computed inside compute_peers from the categorical athletics_division field rather than read from a facts CSV. Useful in the Athletics theme alongside pct_athletes_overall (intensity), total_varsity_sports (breadth), and multi_sport_ratio (culture)."
